Old,New,productname,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,nutrition-score-fr_100g,new_scores,new_nutri_grades,utility_1,utility_2,utility_3,utility_4,utility_5,utility_6
3203,810,Ba»che glacee Vanille saveur Creme bra»lee Amandes caramelisees,d,825.0,7.5,23.0,0.5,2.2,0.052,14.0,11.238095,c,2.4761905,0.42857143,0.0,0.0,5.1904762,3.1428571
2448,811,Boisson soja nature,a,146.0,0.3,1.3,0.0,3.2,0.012,-1.0,16.904762,b,3.047619,3.047619,2.4285714,0.0,5.2380952,3.1428571
3891,812,Fromage blanc Saveur Vanille,a,325.0,0.0,12.0,0.0,6.7,0.036,-2.0,16.904762,b,3.047619,3.047619,1.2857143,0.0,6.3809524,3.1428571
4654,813,Sauce au soja,c,222.0,0.0,0.6,0.9,7.0,5.644,6.0,14.904762,b,3.047619,3.047619,2.4285714,0.0,6.3809524,0.0
4166,814,Sauce tartare,d,2619.0,3.9,3.1,0.0,1.4,0.364,14.0,9.6190476,c,0.0,0.42857143,2.4285714,0.0,5.1904762,1.5714286
1606,815,Madeleines nappees de chocolat,e,1862.0,7.9,30.0,2.4,5.2,0.32,19.0,10.52381,c,1.047619,0.42857143,0.0,1.0952381,6.3809524,1.5714286
1253,816,Beurre doux lait origine bretagne,e,3090.0,58.0,0.7,0.0,0.6,0.008,19.0,9.3809524,c,-8.8817842e-16,0.0,2.4285714,0.0,3.8095238,3.1428571
2765,817,Thon albacore en tranches au naturel,b,477.0,0.4,0.0,0.0,25.0,0.48,1.0,16.857143,b,3.047619,3.047619,2.4285714,0.0,6.9047619,1.4285714
380,818,Trio Thon Crudites ouf Pain de mie complet,a,784.0,0.6,2.7,3.2,9.0,0.48,-1.0,18.142857,a,2.4761905,3.047619,2.4285714,1.952381,6.8095238,1.4285714
3351,819,Yaourt au lait entier  Abricot mixe Avec ara´me naturel,b,368.0,1.9,12.0,0.0,3.4,0.052,2.0,13.761905,b,3.047619,0.42857143,1.2857143,0.0,5.8571429,3.1428571
5507,820,Triangles feuilletes au cheddar et aux herbes de Provence,e,2162.0,19.0,1.3,1.4,11.0,1.24,25.0,9.3333333,c,0.0,0.0,2.4285714,0.0,6.9047619,0.0
343,821,Liegeois au cafe,c,569.0,3.8,15.0,0.0,2.9,0.072,6.0,12.619048,c,3.047619,0.42857143,1.2857143,0.0,5.2380952,2.6190476
5401,822,Chorizo fort,e,1253.0,8.8,3.8,0.0,23.0,1.4,21.0,11.142857,c,1.3809524,0.42857143,2.4285714,0.0,6.9047619,0.0
232,823,Le petit beurre  tablette  chocolat au lait,e,2123.0,14.0,40.0,2.6,6.8,0.3,25.0,10.095238,c,8.8817842e-16,0.0,0.0,1.0952381,6.3809524,2.6190476
670,824,Stylesse chocolat au lait,c,1697.0,3.3,23.0,5.3,7.4,0.26,10.0,12.428571,c,1.047619,0.42857143,0.0,1.952381,6.3809524,2.6190476
4624,825,"Les carres gourmands, Orange Intense",e,2125.0,17.0,52.0,9.7,6.3,0.024,21.0,11.47619,c,8.8817842e-16,0.0,0.0,1.952381,6.3809524,3.1428571
1079,826,Les aromatisees,b,4.0,0.0,0.0,0.0,0.0,0.0,1.0,12.285714,c,3.6666667,3.047619,2.4285714,0.0,0.0,3.1428571
4927,827,Carottes Bio,a,135.0,0.04,6.2,2.0,0.8,0.04064,-6.0,14.857143,b,3.047619,3.047619,1.3809524,0.42857143,3.8095238,3.1428571
1672,828,Oeufs de lompe noirs,c,289.0,0.8,0.01,1.0,8.7,2.0,4.0,14.142857,b,3.047619,2.2857143,2.4285714,0.0,6.3809524,0.0
196,829,Palets bretons,e,2167.0,18.0,25.0,0.0,6.0,0.24,23.0,9.0,c,0.0,0.0,0.0,0.0,6.3809524,2.6190476
742,830,Terrine de campagne,e,1414.0,12.0,1.6,0.0,15.0,0.6,20.0,11.142857,c,1.3809524,0.0,2.4285714,0.0,6.9047619,0.42857143
3155,831,Noix de Saint-Jacques*,a,361.0,0.0,1.0,0.0,17.0,0.176,-3.0,18.047619,a,3.047619,3.047619,2.4285714,0.0,6.9047619,2.6190476
1342,832,Petits pains grilles aux cereales biologiques,b,1703.0,1.0,4.2,4.7,12.0,0.48,1.0,15.238095,b,1.047619,1.4761905,2.4285714,1.952381,6.9047619,1.4285714
3751,833,Stylesse Frutos Rojos,b,1573.0,0.6,18.0,5.5,7.9,0.288,1.0,16.238095,b,1.3809524,3.047619,0.85714286,1.952381,6.3809524,2.6190476
1080,834,Saucisses de volaille,d,938.0,5.7,1.0,0.8,17.0,0.68,14.0,12.666667,c,2.4761905,0.42857143,2.4285714,0.0,6.9047619,0.42857143
4295,835,Biscuits Speculoos recette belge,e,2045.0,8.6,34.0,1.4,5.7,0.332,23.0,9.4285714,c,1.047619,0.42857143,0.0,0.0,6.3809524,1.5714286
5315,836,Chips de Legumes,d,2042.0,2.9,19.0,9.3,6.5,0.56,11.0,11.095238,c,1.047619,0.42857143,0.85714286,1.952381,6.3809524,0.42857143
4060,837,Trio Poulet Crudites,a,790.0,0.5,2.6,3.2,9.9,0.52832,-1.0,17.238095,a,2.4761905,3.047619,2.4285714,1.952381,6.9047619,0.42857143
2653,838,Pruneaux d'Agen denoyautes,b,1059.0,0.2,37.0,6.6,1.4,0.0,1.0,15.714286,b,2.3809524,3.047619,0.0,1.952381,5.1904762,3.1428571
429,839,Legumes pour wok,a,134.0,0.1,3.4,3.0,1.7,0.02,-9.0,18.809524,a,3.047619,3.047619,2.4285714,1.952381,5.1904762,3.1428571
4283,840,Riz Thai,a,1464.0,0.1,0.5,1.4,7.4,0.004,-1.0,16.380952,b,1.3809524,3.047619,2.4285714,0.0,6.3809524,3.1428571
4038,841,Goa»ters  Goa»t Chocolat,e,1978.0,9.1,31.0,3.3,6.2,0.22,19.0,12.428571,c,1.047619,0.42857143,0.0,1.952381,6.3809524,2.6190476
